# FONLL heavy quark hadroproduction cross section, calculated on Tue Mar 24 20:48:14 CET 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = D from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 50.025
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.5750 6.3310e+06 3.9571e+06 9.2241e+06 4.2420e+06 8.9260e+06 5.4430e+06 7.4040e+06 5.6360e+06 7.0270e+06 6.5100e+06 6.0530e+06 7.6970e+06 4.7480e+06 8.9260e+06 4.2420e+06
2.6250 6.1850e+06 3.8797e+06 9.0027e+06 4.1570e+06 8.7150e+06 5.3220e+06 7.2250e+06 5.5090e+06 6.8610e+06 6.3720e+06 5.9070e+06 7.5120e+06 4.6390e+06 8.7150e+06 4.1570e+06
2.6750 6.0390e+06 3.8018e+06 8.7834e+06 4.0710e+06 8.5060e+06 5.2020e+06 7.0460e+06 5.3820e+06 6.6960e+06 6.2340e+06 5.7630e+06 7.3290e+06 4.5310e+06 8.5060e+06 4.0710e+06
2.7250 5.8940e+06 3.7243e+06 8.5668e+06 3.9850e+06 8.2990e+06 5.0830e+06 6.8700e+06 5.2570e+06 6.5320e+06 6.0960e+06 5.6200e+06 7.1470e+06 4.4240e+06 8.2990e+06 3.9850e+06
2.7750 5.7510e+06 3.6469e+06 8.3518e+06 3.9000e+06 8.0940e+06 4.9650e+06 6.6950e+06 5.1320e+06 6.3700e+06 5.9600e+06 5.4780e+06 6.9680e+06 4.3180e+06 8.0940e+06 3.9000e+06
2.8250 5.6100e+06 3.5694e+06 8.1400e+06 3.8150e+06 7.8920e+06 4.8480e+06 6.5230e+06 5.0090e+06 6.2100e+06 5.8250e+06 5.3380e+06 6.7910e+06 4.2120e+06 7.8920e+06 3.8150e+06
2.8750 5.4700e+06 3.4930e+06 7.9317e+06 3.7310e+06 7.6930e+06 4.7320e+06 6.3530e+06 4.8870e+06 6.0520e+06 5.6910e+06 5.2000e+06 6.6160e+06 4.1090e+06 7.6930e+06 3.7310e+06
2.9250 5.3320e+06 3.4176e+06 7.7257e+06 3.6480e+06 7.4960e+06 4.6180e+06 6.1850e+06 4.7670e+06 5.8970e+06 5.5590e+06 5.0640e+06 6.4440e+06 4.0060e+06 7.4960e+06 3.6480e+06
2.9750 5.1960e+06 3.3434e+06 7.5242e+06 3.5660e+06 7.3030e+06 4.5060e+06 6.0210e+06 4.6490e+06 5.7440e+06 5.4280e+06 4.9300e+06 6.2750e+06 3.9050e+06 7.3030e+06 3.5660e+06
3.0250 5.0630e+06 3.2690e+06 7.3257e+06 3.4850e+06 7.1130e+06 4.3950e+06 5.8600e+06 4.5320e+06 5.5940e+06 5.2990e+06 4.7990e+06 6.1090e+06 3.8060e+06 7.1130e+06 3.4850e+06
3.0750 4.9320e+06 3.1958e+06 7.1310e+06 3.4050e+06 6.9270e+06 4.2850e+06 5.7010e+06 4.4180e+06 5.4460e+06 5.1720e+06 4.6700e+06 5.9460e+06 3.7080e+06 6.9270e+06 3.4050e+06
3.1250 4.8030e+06 3.1237e+06 6.9402e+06 3.3260e+06 6.7440e+06 4.1780e+06 5.5460e+06 4.3050e+06 5.3010e+06 5.0470e+06 4.5430e+06 5.7860e+06 3.6120e+06 6.7440e+06 3.3260e+06
3.1750 4.6770e+06 3.0521e+06 6.7529e+06 3.2480e+06 6.5650e+06 4.0730e+06 5.3930e+06 4.1940e+06 5.1590e+06 4.9240e+06 4.4190e+06 5.6290e+06 3.5170e+06 6.5650e+06 3.2480e+06
