# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.7027 8.3401e+07 2.8866e+07 1.6600e+08 3.2514e+07 1.6194e+08 6.6622e+07 1.0687e+08 7.3250e+07 9.3552e+07 6.8316e+07 8.1468e+07 1.2504e+08 5.1729e+07 1.6194e+08 3.2514e+07
2.7528 8.0249e+07 2.8453e+07 1.5879e+08 3.1942e+07 1.5492e+08 6.4236e+07 1.0263e+08 7.0610e+07 8.9887e+07 6.6652e+07 7.7988e+07 1.1946e+08 4.9922e+07 1.5492e+08 3.1942e+07
2.8028 7.7204e+07 2.8017e+07 1.5189e+08 3.1355e+07 1.4819e+08 6.1925e+07 9.8540e+07 6.8051e+07 8.6358e+07 6.4980e+07 7.4661e+07 1.1414e+08 4.8170e+07 1.4819e+08 3.1355e+07
2.8529 7.4267e+07 2.7574e+07 1.4529e+08 3.0769e+07 1.4176e+08 5.9688e+07 9.4608e+07 6.5572e+07 8.2961e+07 6.3326e+07 7.1482e+07 1.0906e+08 4.6473e+07 1.4176e+08 3.0769e+07
2.9029 7.1434e+07 2.7121e+07 1.3897e+08 3.0180e+07 1.3560e+08 5.7525e+07 9.0826e+07 6.3173e+07 7.9696e+07 6.1687e+07 6.8446e+07 1.0421e+08 4.4830e+07 1.3560e+08 3.0180e+07
2.9530 6.8705e+07 2.6653e+07 1.3294e+08 2.9582e+07 1.2972e+08 5.5434e+07 8.7190e+07 6.0854e+07 7.6556e+07 6.0058e+07 6.5545e+07 9.9594e+07 4.3240e+07 1.2972e+08 2.9582e+07
3.0030 6.6076e+07 2.6168e+07 1.2717e+08 2.8973e+07 1.2410e+08 5.3414e+07 8.3698e+07 5.8612e+07 7.3540e+07 5.8438e+07 6.2776e+07 9.5193e+07 4.1702e+07 1.2410e+08 2.8973e+07
3.0531 6.3546e+07 2.5667e+07 1.2166e+08 2.8354e+07 1.1872e+08 5.1465e+07 8.0345e+07 5.6448e+07 7.0643e+07 5.6826e+07 6.0132e+07 9.0999e+07 4.0217e+07 1.1872e+08 2.8354e+07
3.1031 6.1110e+07 2.5154e+07 1.1640e+08 2.7727e+07 1.1359e+08 4.9583e+07 7.7126e+07 5.4359e+07 6.7861e+07 5.5227e+07 5.7609e+07 8.7002e+07 3.8782e+07 1.1359e+08 2.7727e+07
3.1532 5.8767e+07 2.4631e+07 1.1137e+08 2.7096e+07 1.0869e+08 4.7768e+07 7.4038e+07 5.2344e+07 6.5190e+07 5.3644e+07 5.5199e+07 8.3194e+07 3.7396e+07 1.0869e+08 2.7096e+07
