# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
3.1010 9.2788e+06 4.7274e+06 1.3696e+07 5.1504e+06 1.3140e+07 7.8806e+06 1.0977e+07 7.9685e+06 1.0589e+07 8.2258e+06 9.6237e+06 1.1901e+07 6.9328e+06 1.3140e+07 5.1504e+06
3.1511 9.2603e+06 4.7361e+06 1.3663e+07 5.1559e+06 1.3114e+07 7.8715e+06 1.0946e+07 7.9587e+06 1.0562e+07 8.2275e+06 9.5960e+06 1.1875e+07 6.9192e+06 1.3114e+07 5.1559e+06
3.2011 9.2384e+06 4.7429e+06 1.3626e+07 5.1595e+06 1.3084e+07 7.8594e+06 1.0910e+07 7.9459e+06 1.0531e+07 8.2261e+06 9.5646e+06 1.1844e+07 6.9029e+06 1.3084e+07 5.1595e+06
3.2511 9.2132e+06 4.7479e+06 1.3585e+07 5.1611e+06 1.3049e+07 7.8446e+06 1.0871e+07 7.9303e+06 1.0496e+07 8.2218e+06 9.5299e+06 1.1809e+07 6.8842e+06 1.3049e+07 5.1611e+06
3.3011 9.1850e+06 4.7513e+06 1.3539e+07 5.1608e+06 1.3010e+07 7.8272e+06 1.0828e+07 7.9120e+06 1.0458e+07 8.2145e+06 9.4919e+06 1.1770e+07 6.8630e+06 1.3010e+07 5.1608e+06
3.3511 9.1537e+06 4.7529e+06 1.3488e+07 5.1587e+06 1.2968e+07 7.8071e+06 1.0781e+07 7.8911e+06 1.0416e+07 8.2045e+06 9.4508e+06 1.1728e+07 6.8395e+06 1.2968e+07 5.1587e+06
3.4011 9.1196e+06 4.7529e+06 1.3434e+07 5.1549e+06 1.2921e+07 7.7845e+06 1.0731e+07 7.8676e+06 1.0372e+07 8.1917e+06 9.4066e+06 1.1682e+07 6.8138e+06 1.2921e+07 5.1549e+06
3.4512 9.0826e+06 4.7513e+06 1.3376e+07 5.1494e+06 1.2871e+07 7.7596e+06 1.0678e+07 7.8417e+06 1.0324e+07 8.1763e+06 9.3596e+06 1.1632e+07 6.7859e+06 1.2871e+07 5.1494e+06
3.5012 9.0430e+06 4.7482e+06 1.3314e+07 5.1423e+06 1.2816e+07 7.7322e+06 1.0622e+07 7.8134e+06 1.0273e+07 8.1584e+06 9.3098e+06 1.1579e+07 6.7560e+06 1.2816e+07 5.1423e+06
3.5512 9.0009e+06 4.7435e+06 1.3249e+07 5.1335e+06 1.2759e+07 7.7027e+06 1.0563e+07 7.7829e+06 1.0219e+07 8.1380e+06 9.2575e+06 1.1523e+07 6.7240e+06 1.2759e+07 5.1335e+06
3.6012 8.9562e+06 4.7373e+06 1.3180e+07 5.1232e+06 1.2698e+07 7.6710e+06 1.0501e+07 7.7501e+06 1.0162e+07 8.1152e+06 9.2026e+06 1.1463e+07 6.6903e+06 1.2698e+07 5.1232e+06
3.6512 8.9093e+06 4.7296e+06 1.3108e+07 5.1112e+06 1.2634e+07 7.6372e+06 1.0436e+07 7.7153e+06 1.0103e+07 8.0901e+06 9.1454e+06 1.1401e+07 6.6547e+06 1.2634e+07 5.1112e+06
3.7012 8.8601e+06 4.7205e+06 1.3033e+07 5.0977e+06 1.2567e+07 7.6014e+06 1.0369e+07 7.6785e+06 1.0042e+07 8.0627e+06 9.0859e+06 1.1336e+07 6.6174e+06 1.2567e+07 5.0977e+06
3.7513 8.8087e+06 4.7100e+06 1.2955e+07 5.0828e+06 1.2497e+07 7.5637e+06 1.0300e+07 7.6397e+06 9.9777e+06 8.0331e+06 9.0243e+06 1.1268e+07 6.5784e+06 1.2497e+07 5.0828e+06
3.8013 8.7553e+06 4.6982e+06 1.2874e+07 5.0665e+06 1.2424e+07 7.5241e+06 1.0228e+07 7.5992e+06 9.9116e+06 8.0014e+06 8.9606e+06 1.1197e+07 6.5379e+06 1.2424e+07 5.0665e+06
3.8513 8.7000e+06 4.6851e+06 1.2790e+07 5.0488e+06 1.2348e+07 7.4829e+06 1.0154e+07 7.5568e+06 9.8432e+06 7.9678e+06 8.8951e+06 1.1124e+07 6.4959e+06 1.2348e+07 5.0488e+06
3.9013 8.6428e+06 4.6707e+06 1.2704e+07 5.0298e+06 1.2270e+07 7.4399e+06 1.0078e+07 7.5128e+06 9.7729e+06 7.9322e+06 8.8277e+06 1.1049e+07 6.4525e+06 1.2270e+07 5.0298e+06
3.9513 8.5839e+06 4.6552e+06 1.2615e+07 5.0096e+06 1.2189e+07 7.3954e+06 1.0000e+07 7.4671e+06 9.7007e+06 7.8947e+06 8.7587e+06 1.0971e+07 6.4078e+06 1.2189e+07 5.0096e+06
4.0013 8.5233e+06 4.6385e+06 1.2524e+07 4.9883e+06 1.2106e+07 7.3494e+06 9.9204e+06 7.4200e+06 9.6266e+06 7.8555e+06 8.6880e+06 1.0891e+07 6.3618e+06 1.2106e+07 4.9883e+06
4.0514 8.4612e+06 4.6206e+06 1.2430e+07 4.9657e+06 1.2020e+07 7.3019e+06 9.8391e+06 7.3713e+06 9.5509e+06 7.8146e+06 8.6158e+06 1.0809e+07 6.3147e+06 1.2020e+07 4.9657e+06
4.1014 8.3976e+06 4.6017e+06 1.2335e+07 4.9421e+06 1.1933e+07 7.2530e+06 9.7562e+06 7.3213e+06 9.4737e+06 7.7720e+06 8.5424e+06 1.0726e+07 6.2665e+06 1.1933e+07 4.9421e+06
4.1514 8.3326e+06 4.5818e+06 1.2237e+07 4.9175e+06 1.1843e+07 7.2029e+06 9.6720e+06 7.2700e+06 9.3951e+06 7.7280e+06 8.4678e+06 1.0640e+07 6.2173e+06 1.1843e+07 4.9175e+06
4.2014 8.2663e+06 4.5609e+06 1.2138e+07 4.8918e+06 1.1752e+07 7.1516e+06 9.5865e+06 7.2174e+06 9.3152e+06 7.6824e+06 8.3920e+06 1.0553e+07 6.1672e+06 1.1752e+07 4.8918e+06
4.2514 8.1989e+06 4.5390e+06 1.2037e+07 4.8652e+06 1.1658e+07 7.0991e+06 9.4998e+06 7.1636e+06 9.2340e+06 7.6354e+06 8.3152e+06 1.0464e+07 6.1162e+06 1.1658e+07 4.8652e+06
4.3014 8.1303e+06 4.5163e+06 1.1935e+07 4.8377e+06 1.1564e+07 7.0455e+06 9.4120e+06 7.1088e+06 9.1518e+06 7.5870e+06 8.2374e+06 1.0374e+07 6.0644e+06 1.1564e+07 4.8377e+06
4.3515 8.0606e+06 4.4926e+06 1.1831e+07 4.8094e+06 1.1467e+07 6.9909e+06 9.3231e+06 7.0529e+06 9.0684e+06 7.5375e+06 8.1587e+06 1.0283e+07 6.0118e+06 1.1467e+07 4.8094e+06
4.4015 7.9900e+06 4.4682e+06 1.1725e+07 4.7802e+06 1.1369e+07 6.9354e+06 9.2333e+06 6.9960e+06 8.9840e+06 7.4867e+06 8.0792e+06 1.0190e+07 5.9585e+06 1.1369e+07 4.7802e+06
