# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
5.9496 1.8689e+07 1.1524e+07 2.9370e+07 1.2113e+07 2.8798e+07 1.6437e+07 2.1666e+07 1.6952e+07 2.0427e+07 1.9626e+07 1.7497e+07 2.3900e+07 1.3245e+07 2.8798e+07 1.2113e+07
6.0504 1.7640e+07 1.0985e+07 2.7592e+07 1.1539e+07 2.7058e+07 1.5543e+07 2.0410e+07 1.6009e+07 1.9272e+07 1.8607e+07 1.6494e+07 2.2469e+07 1.2538e+07 2.7058e+07 1.1539e+07
6.1513 1.6659e+07 1.0474e+07 2.5938e+07 1.0994e+07 2.5439e+07 1.4705e+07 1.9238e+07 1.5125e+07 1.8193e+07 1.7646e+07 1.5557e+07 2.1138e+07 1.1874e+07 2.5439e+07 1.0994e+07
6.2521 1.5741e+07 9.9874e+06 2.4399e+07 1.0478e+07 2.3932e+07 1.3919e+07 1.8144e+07 1.4298e+07 1.7184e+07 1.6740e+07 1.4683e+07 1.9899e+07 1.1252e+07 2.3932e+07 1.0478e+07
6.3529 1.4882e+07 9.5255e+06 2.2965e+07 9.9876e+06 2.2529e+07 1.3181e+07 1.7123e+07 1.3523e+07 1.6240e+07 1.5885e+07 1.3866e+07 1.8744e+07 1.0666e+07 2.2529e+07 9.9876e+06
6.4538 1.4077e+07 9.0866e+06 2.1629e+07 9.5223e+06 2.1220e+07 1.2489e+07 1.6167e+07 1.2797e+07 1.5356e+07 1.5079e+07 1.3101e+07 1.7666e+07 1.0116e+07 2.1220e+07 9.5223e+06
6.5546 1.3322e+07 8.6695e+06 2.0384e+07 9.0804e+06 2.0000e+07 1.1839e+07 1.5274e+07 1.2116e+07 1.4529e+07 1.4318e+07 1.2386e+07 1.6661e+07 9.5992e+06 2.0000e+07 9.0804e+06
6.6555 1.2614e+07 8.2730e+06 1.9221e+07 8.6610e+06 1.8861e+07 1.1228e+07 1.4438e+07 1.1476e+07 1.3753e+07 1.3600e+07 1.1716e+07 1.5723e+07 9.1128e+06 1.8861e+07 8.6610e+06
6.7563 1.1950e+07 7.8964e+06 1.8135e+07 8.2628e+06 1.7798e+07 1.0654e+07 1.3655e+07 1.0875e+07 1.3025e+07 1.2923e+07 1.1089e+07 1.4846e+07 8.6548e+06 1.7798e+07 8.2628e+06
6.8571 1.1326e+07 7.5387e+06 1.7121e+07 7.8848e+06 1.6804e+07 1.0113e+07 1.2921e+07 1.0311e+07 1.2342e+07 1.2283e+07 1.0501e+07 1.4026e+07 8.2233e+06 1.6804e+07 7.8848e+06
